@relation alexnet_grafico

@attribute predict_base_transfer_googlenet numeric
@attribute probability_interval_transfer_googlenet numeric
@attribute probability_previous_transfer_googlenet numeric
@attribute probability_next_transfer_googlenet numeric
@attribute time_previous_transfer_googlenet numeric
@attribute time_next_transfer_googlenet numeric
@attribute Class {0,1}

@data
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
